#id	length	errors	errors_length	perfect_cov	perfect_cov_length	repeat	repeat_length	clip	clip_length	score	score_length	frag_dist	frag_dist_length	frag_dist_gap	frag_dist_gap_length	frag_cov	frag_cov_length	frag_cov_gap	frag_cov_gap_length	read_cov	read_cov_length	link	link_length	read_orientation	read_orientation_length
velvet.1_NODE_1_length_1458_cov_60.585735	1488	3	1625	2	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1486	0	0	
velvet.2_NODE_2_length_3249_cov_135.334869	3279	2	3341	1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3278	0	0	
velvet.3_NODE_4_length_4788_cov_141.283417	4818	4	4671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4671	0	0	
velvet.4_NODE_5_length_282_cov_38.964539	312	3	412	2	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	311	0	0	
velvet.5_NODE_6_length_56_cov_42.678570	86	1	85	1	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.6_NODE_7_length_870_cov_924.879333	900	2	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	455	0	0	
velvet.7_NODE_8_length_72903_cov_39.474205	72933	380	135459	150	20278	0	0	0	0	0	0	0	0	0	0	3	30670	1	10258	0	0	125	37769	101	36484	
velvet.8_NODE_9_length_950_cov_948.529480	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
velvet.9_NODE_10_length_125_cov_1184.135986	155	1	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	154	0	0	
velvet.10_NODE_11_length_8074_cov_168.022171	8104	22	14868	1	98	0	0	0	0	0	0	0	0	0	0	1	4271	0	0	0	0	20	10499	0	0	
velvet.11_NODE_12_length_44_cov_1014.250000	74	1	73	1	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.12_NODE_13_length_37_cov_1394.756714	67	1	66	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.13_NODE_14_length_70_cov_1251.114258	100	1	99	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.14_NODE_15_length_595_cov_174.161346	625	1	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	624	0	0	
velvet.15_NODE_16_length_1121_cov_172.074936	1151	2	1245	1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1150	0	0	
velvet.16_NODE_17_length_47_cov_30.191490	77	1	76	1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.17_NODE_21_length_39_cov_42.153847	69	1	68	1	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.18_NODE_23_length_71_cov_134.577469	101	2	200	1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	100	0	0	
velvet.19_NODE_25_length_322_cov_163.251556	352	1	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	351	0	0	
velvet.20_NODE_27_length_530_cov_1078.699951	560	1	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	197	0	0	
velvet.21_NODE_30_length_78_cov_1010.666687	108	2	214	1	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	107	0	0	
velvet.22_NODE_32_length_628_cov_139.358276	658	1	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	657	0	0	
velvet.23_NODE_33_length_266_cov_833.007507	296	1	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	192	0	0	
velvet.24_NODE_34_length_5886_cov_44.115868	5916	27	11008	7	1014	1	2825	0	0	4	392	0	0	0	0	1	2359	0	0	0	0	14	4418	0	0	
velvet.25_NODE_35_length_208_cov_237.057693	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
velvet.26_NODE_36_length_89_cov_148.977524	119	2	236	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	118	0	0	
velvet.27_NODE_37_length_1783_cov_179.491867	1813	2	1842	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1812	0	0	
velvet.28_NODE_40_length_37_cov_57.702702	67	1	66	1	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.29_NODE_41_length_43_cov_134.302322	73	1	72	1	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
velvet.30_NODE_42_length_121_cov_69.008263	151	2	300	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	150	0	0	
velvet.31_NODE_43_length_290_cov_120.072411	320	1	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	319	0	0	
velvet.32_NODE_45_length_319_cov_182.407516	349	1	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	348	0	0	
velvet.33_NODE_47_length_206_cov_61.941746	236	2	298	1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	235	0	0	
velvet.34_NODE_49_length_100_cov_628.359985	130	2	258	1	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	129	0	0	
